project_name,owner,repo_name,url,commit_hash,star_count,detection_type
symfony/symfony,symfony,symfony,https://github.com/symfony/symfony,e56a9c91b39b6dbe64727eb26169dccd638bd769,30753,fallback_includes
matomo-org/matomo,matomo-org,matomo,https://github.com/matomo-org/matomo,cb9df3ee8b1821fd096528cd076b975b45faf429,21000,fallback_includes
WordPress/WordPress,WordPress,WordPress,https://github.com/WordPress/WordPress,d9356e42f3648461027c4d6db3600297200d8080,20620,primary_functions
sebastianbergmann/phpunit,sebastianbergmann,phpunit,https://github.com/sebastianbergmann/phpunit,b778c36033332d1653b87bb3269b24bdae7111f0,19957,fallback_includes
FreshRSS/FreshRSS,FreshRSS,FreshRSS,https://github.com/FreshRSS/FreshRSS,5e622c60fa5c40793138807280319f7e84d00cc6,13026,fallback_includes
phacility/phabricator,phacility,phabricator,https://github.com/phacility/phabricator,5720a38cfe95b00ca4be5016dd0d2f3195f4fa04,12325,fallback_includes
YOURLS/YOURLS,YOURLS,YOURLS,https://github.com/YOURLS/YOURLS,fdc68ef85241287356017f595f4c1d9e8a8cb1a4,11655,fallback_includes
phalcon/cphalcon,phalcon,cphalcon,https://github.com/phalcon/cphalcon,c7f3e5c06126b127768f0a6f1965163612806dc1,10824,fallback_includes
squizlabs/PHP_CodeSniffer,squizlabs,PHP_CodeSniffer,https://github.com/squizlabs/PHP_CodeSniffer,c6c65ca0dc8608ba87631523b97b2f8d5351a854,10770,fallback_includes
tennc/webshell,tennc,webshell,https://github.com/tennc/webshell,6b17eae4a0bc792f996a38ce32772e4db9c7c799,10586,fallback_includes
Qloapps/QloApps,Qloapps,QloApps,https://github.com/Qloapps/QloApps,41f97a6b9eb89cc68bda39832f9ad6c5017759ac,10454,fallback_includes
woocommerce/woocommerce,woocommerce,woocommerce,https://github.com/woocommerce/woocommerce,c3e99a67c2425d11898685e712e18defc867db0a,10048,primary_functions
symfony/http-foundation,symfony,http-foundation,https://github.com/symfony/http-foundation,6379e490d6ecfc5c4224ff3a754b90495ecd135c,8656,fallback_includes
Leantime/leantime,Leantime,leantime,https://github.com/Leantime/leantime,b771400e49099219cf8fcbb51b12a050982dd192,8596,fallback_includes
collabnix/dockerlabs,collabnix,dockerlabs,https://github.com/collabnix/dockerlabs,8602502929009517b34db1ecb4c11bd6fdf98952,7869,primary_functions
phpmyadmin/phpmyadmin,phpmyadmin,phpmyadmin,https://github.com/phpmyadmin/phpmyadmin,afbafba14edb8b75d5070ac20950650192ee79dc,7691,fallback_includes
elementor/elementor,elementor,elementor,https://github.com/elementor/elementor,734fce67f8c391800e6eefb8f6dec837f3caaa9a,6767,fallback_includes
Dolibarr/dolibarr,Dolibarr,dolibarr,https://github.com/Dolibarr/dolibarr,372487c30fd985522cc379289b45098b7d998041,6649,fallback_includes
roundcube/roundcubemail,roundcube,roundcubemail,https://github.com/roundcube/roundcubemail,a361fa79f1328bf8d8f69744c6da689dcd561055,6614,fallback_includes
moodle/moodle,moodle,moodle,https://github.com/moodle/moodle,a331b32befc9bb013d45fbe7e66d9a78e94d5b93,6601,primary_functions
kalcaddle/KodExplorer,kalcaddle,KodExplorer,https://github.com/kalcaddle/KodExplorer,5cf233f7556b442100cf67b5e92d57ceabb126c6,6345,fallback_includes
codeigniter4/CodeIgniter4,codeigniter4,CodeIgniter4,https://github.com/codeigniter4/CodeIgniter4,9972ca0fec7e919cbf39157d5c95141baab5cad2,5767,fallback_includes
ZoneMinder/zoneminder,ZoneMinder,zoneminder,https://github.com/ZoneMinder/zoneminder,7329fa58333ae6e6aac80f56c86c78390e7fb8d8,5664,fallback_includes
prasathmani/tinyfilemanager,prasathmani,tinyfilemanager,https://github.com/prasathmani/tinyfilemanager,dd2e22781badf48b041643c5b2e428dd7965405f,5642,fallback_includes
yiisoft/yii,yiisoft,yii,https://github.com/yiisoft/yii,0fa8ca495dfa44ed5d52703124812efe9d0aba32,4835,primary_functions
wikimedia/mediawiki,wikimedia,mediawiki,https://github.com/wikimedia/mediawiki,98a58770582ff690a5d1296fdab6e9054cd6131a,4800,fallback_includes
openemr/openemr,openemr,openemr,https://github.com/openemr/openemr,442f0cfde9658aba78848627b96adff856f59f08,4518,fallback_includes
cytopia/devilbox,cytopia,devilbox,https://github.com/cytopia/devilbox,986f04637f8210e18e2895d01888040e384c662a,4475,fallback_includes
dokuwiki/dokuwiki,dokuwiki,dokuwiki,https://github.com/dokuwiki/dokuwiki,c06982733e7b9f11d51b297fa6c2fbdbc26a3445,4460,primary_functions
drupal/drupal,drupal,drupal,https://github.com/drupal/drupal,b90c658920ba263e65b52437eddd5700f50ad353,4215,fallback_includes
opnsense/core,opnsense,core,https://github.com/opnsense/core,0b33eacec61ce87d9df39427050efc48000851d9,4065,fallback_includes
zyx0814/dzzoffice,zyx0814,dzzoffice,https://github.com/zyx0814/dzzoffice,5d8c3e8de9030f62b86721c2ac6a6995e5afa5fe,3984,fallback_includes
freescout-help-desk/freescout,freescout-help-desk,freescout,https://github.com/freescout-help-desk/freescout,3a70c8b491b11ab32914d587cac091ce74d40c63,3880,primary_functions
ampache/ampache,ampache,ampache,https://github.com/ampache/ampache,4cf3f143550cc5254ea3818e4fc2b374b5899008,3733,fallback_includes
Piwigo/Piwigo,Piwigo,Piwigo,https://github.com/Piwigo/Piwigo,a04c93cf768ed10765dfad6382edfb1a0c50ffcb,3620,primary_functions
osTicket/osTicket,osTicket,osTicket,https://github.com/osTicket/osTicket,53339df0f5c5b0fcfc109600d62646a19c1db7e7,3585,fallback_includes
AzuraCast/AzuraCast,AzuraCast,AzuraCast,https://github.com/AzuraCast/AzuraCast,27943f76d52c1aa41e9b35f8d046ae4de9969fd2,3571,fallback_includes
icret/EasyImages2.0,icret,EasyImages2.0,https://github.com/icret/EasyImages2.0,28b61deec2889af1f4ce8912e57f6bf09e0e7cfe,3554,fallback_includes
craftcms/cms,craftcms,cms,https://github.com/craftcms/cms,8226297e2b3fae96bce307b584362df7cf06788a,3490,fallback_includes
ezyang/htmlpurifier,ezyang,htmlpurifier,https://github.com/ezyang/htmlpurifier,b287d2a16aceffbf6e0295559b39662612b77fcf,3290,fallback_includes
ThinkUpLLC/ThinkUp,ThinkUpLLC,ThinkUp,https://github.com/ThinkUpLLC/ThinkUp,ac41d11625d9a2421f4edad397a21300f82d2836,3283,fallback_includes
afragen/git-updater,afragen,git-updater,https://github.com/afragen/git-updater,d3b374a6eba335ece9beb6a15d4ff6f9705e1ffc,3276,fallback_includes
catchpoint/WebPageTest,catchpoint,WebPageTest,https://github.com/catchpoint/WebPageTest,4e157836cdfb51eb7db93fc7b2488a0582ad1a6c,3183,fallback_includes
WordPress/wordpress-develop,WordPress,wordpress-develop,https://github.com/WordPress/wordpress-develop,b2892213f853050dbc7ba2d98d7a4ed27e870c5c,3138,primary_functions
CMB2/CMB2,CMB2,CMB2,https://github.com/CMB2/CMB2,610b5bd078c61fd95496f52836f47a37921ca823,3000,primary_functions
vanilla/vanilla,vanilla,vanilla,https://github.com/vanilla/vanilla,f91929ad63469e76771de64d5e1123d95e45ff28,2965,fallback_includes
sabre-io/Baikal,sabre-io,Baikal,https://github.com/sabre-io/Baikal,d3db25f184964af55906e105df53d9df6fd4537c,2928,fallback_includes
phoronix-test-suite/phoronix-test-suite,phoronix-test-suite,phoronix-test-suite,https://github.com/phoronix-test-suite/phoronix-test-suite,e8f464155b23df2c347dd0606c89a188757debb6,2878,primary_functions
Licoy/wordpress-theme-puock,Licoy,wordpress-theme-puock,https://github.com/Licoy/wordpress-theme-puock,d0daf06a13171e81e4a476cdfabd6ce540923e25,2800,fallback_includes
flightphp/core,flightphp,core,https://github.com/flightphp/core,854f6682222a6611bac3b68218de4d6bec100697,2795,fallback_includes
top-think/framework,top-think,framework,https://github.com/top-think/framework,b6ed711ba206fb33984d6a25294a44b45d322e7c,2786,primary_functions
kalcaddle/kodbox,kalcaddle,kodbox,https://github.com/kalcaddle/kodbox,fa22a8672b2e668a29b8b0a0f3472464499c3cbf,2750,fallback_includes
WordPress/WordPress-Coding-Standards,WordPress,WordPress-Coding-Standards,https://github.com/WordPress/WordPress-Coding-Standards,882af0776b2106b8d389afa6a8a9df23ae151d17,2699,fallback_includes
magicblack/maccms10,magicblack,maccms10,https://github.com/magicblack/maccms10,96feeebfc57bf5003caf525148e8e561a91db4d1,2672,primary_functions
Open-Web-Analytics/Open-Web-Analytics,Open-Web-Analytics,Open-Web-Analytics,https://github.com/Open-Web-Analytics/Open-Web-Analytics,1e5531522acb8f145627c9feb0175cf8a66561ba,2613,fallback_includes
phpbb/phpbb,phpbb,phpbb,https://github.com/phpbb/phpbb,84483478c42b73918d755c0612c9a594586207a0,1995,fallback_includes
xl7dev/WebShell,xl7dev,WebShell,https://github.com/xl7dev/WebShell,f7cd87feb5ef0375fc7a7cbcfea15713a3fb5c5b,1950,fallback_includes
szvone/vmqphp,szvone,vmqphp,https://github.com/szvone/vmqphp,d5c8c3fe6bd1c69449fc343ee6e2b275fab36da5,1942,primary_functions
JohnTroony/php-webshells,JohnTroony,php-webshells,https://github.com/JohnTroony/php-webshells,226a15d0684e2f893caed0b94fbbf0037b89adea,1924,fallback_includes
MoeNetwork/Tieba-Cloud-Sign,MoeNetwork,Tieba-Cloud-Sign,https://github.com/MoeNetwork/Tieba-Cloud-Sign,ab8f83e61aaf87dec82ad8c5e540d0c91933a8da,1905,fallback_includes
hongriSec/PHP-Audit-Labs,hongriSec,PHP-Audit-Labs,https://github.com/hongriSec/PHP-Audit-Labs,721e94e2917db6d0bde2f6a0cd94c695fbd5e635,1898,fallback_includes
WhatCD/Gazelle,WhatCD,Gazelle,https://github.com/WhatCD/Gazelle,63b337026d49b5cf63ce4be20fdabdc880112fa3,1875,fallback_includes
lincanbin/Carbon-Forum,lincanbin,Carbon-Forum,https://github.com/lincanbin/Carbon-Forum,55d98f4e4a8c3442c61bfe0a5844c32f22145cd9,1850,fallback_includes
ampproject/amp-wp,ampproject,amp-wp,https://github.com/ampproject/amp-wp,c871fffb04d42fed52c278083a7435671113db48,1803,primary_functions
Cacti/cacti,Cacti,cacti,https://github.com/Cacti/cacti,0118b3cd357ed07ef012ea8a4b4ff6646ace3b59,1772,fallback_includes
SecWiki/CMS-Hunter,SecWiki,CMS-Hunter,https://github.com/SecWiki/CMS-Hunter,5ad0da9524b385045e7a4a627d2bb52906badfc5,1765,primary_functions
TGMPA/TGM-Plugin-Activation,TGMPA,TGM-Plugin-Activation,https://github.com/TGMPA/TGM-Plugin-Activation,2d34264f4fdcfcc60261d490ff2e689f0c33730c,1760,primary_functions
Automattic/jetpack,Automattic,jetpack,https://github.com/Automattic/jetpack,cab6f7d7302c613c6031098673b283ad693154f5,1750,primary_functions
phpactor/phpactor,phpactor,phpactor,https://github.com/phpactor/phpactor,ddd3cd83794e1be751e559976b35599d1e5ed385,1736,fallback_includes
bowu678/php_bugs,bowu678,php_bugs,https://github.com/bowu678/php_bugs,3a5270e0a4c2acf49d58f154aa6de3908a2531dd,1715,fallback_includes
diskoverdata/diskover-community,diskoverdata,diskover-community,https://github.com/diskoverdata/diskover-community,36ff276aa086054f0471cdf3ec3d971426b13178,1711,fallback_includes
froxlor/Froxlor,froxlor,Froxlor,https://github.com/froxlor/Froxlor,dd99b78a940c1f2b30f9b547804cd4f273276d44,1701,fallback_includes
Tencent/Biny,Tencent,Biny,https://github.com/Tencent/Biny,df89c468fff52eb9bdd39788fa07fd0ad764b0d9,1688,fallback_includes
opauth/opauth,opauth,opauth,https://github.com/opauth/opauth,3f979012d0bdf2d447bb02b97f7f7d9f482c77e8,1641,fallback_includes
fossasia/phimpme-wordpress,fossasia,phimpme-wordpress,https://github.com/fossasia/phimpme-wordpress,73ae94afc9463eeb24ddc615c3ae7ac3aef53826,1550,primary_functions
fossasia/phimpme-drupal,fossasia,phimpme-drupal,https://github.com/fossasia/phimpme-drupal,b95edcead72227224f9c00d2d917bcdd6c624126,1548,primary_functions
TestLinkOpenSourceTRMS/testlink-code,TestLinkOpenSourceTRMS,testlink-code,https://github.com/TestLinkOpenSourceTRMS/testlink-code,18660032dc4d418695f0b56fb9e2d0fe8cfc3180,1547,fallback_includes
fossasia/fossasia11-drupal,fossasia,fossasia11-drupal,https://github.com/fossasia/fossasia11-drupal,022331c61a923c3aeda8aaa1fcf4031ef6f75a9b,1541,primary_functions
fossasia/fossasia10-drupal,fossasia,fossasia10-drupal,https://github.com/fossasia/fossasia10-drupal,5e6d96b139a8a71e4a72f3f08376fbc3f670cae9,1539,primary_functions
MPOS/php-mpos,MPOS,php-mpos,https://github.com/MPOS/php-mpos,236cccd5d3178e99504bf2665db8bddfed6aa176,1530,fallback_includes
kakserpom/phpdaemon,kakserpom,phpdaemon,https://github.com/kakserpom/phpdaemon,88b5926b4f38a99c4006b837cbfde3e2a7d7cbf4,1521,fallback_includes
fossasia/loklak_wp_plugins,fossasia,loklak_wp_plugins,https://github.com/fossasia/loklak_wp_plugins,c86b3fd810b328c4c6d68eeb8a400f90c0f50dd2,1516,fallback_includes
easysoft/zentaopms,easysoft,zentaopms,https://github.com/easysoft/zentaopms,2ac5d0ee7f202a193f27e567012f99a69b1efb37,1502,primary_functions
esotalk/esoTalk,esotalk,esoTalk,https://github.com/esotalk/esoTalk,a8a9c0b4782777d81a6802a4da0cf55494b9817c,1473,fallback_includes
webpwnized/mutillidae,webpwnized,mutillidae,https://github.com/webpwnized/mutillidae,5d3e8297729647647878615bbb47aa121ed036e9,1428,fallback_includes
cashmusic/platform,cashmusic,platform,https://github.com/cashmusic/platform,4ebdf961d1d17850f166ab2864de7017abf169fc,1401,fallback_includes
kirilkirkov/Ecommerce-CodeIgniter-Bootstrap,kirilkirkov,Ecommerce-CodeIgniter-Bootstrap,https://github.com/kirilkirkov/Ecommerce-CodeIgniter-Bootstrap,11d73a6ac20f74e38af9dd9124c66ade9c78a23d,1392,fallback_includes
revive-adserver/revive-adserver,revive-adserver,revive-adserver,https://github.com/revive-adserver/revive-adserver,9bee46e34748e546335fc3ea3e7cdfbfc878e46d,1389,primary_functions
PHPCSStandards/PHP_CodeSniffer,PHPCSStandards,PHP_CodeSniffer,https://github.com/PHPCSStandards/PHP_CodeSniffer,93979308666822d67aed0720378bb9be6ef14e42,1384,fallback_includes
modxcms/revolution,modxcms,revolution,https://github.com/modxcms/revolution,943cbd64490d8a64dcfe08da886e1bf8d43a3b17,1384,fallback_includes
JetBrains/phpstorm-stubs,JetBrains,phpstorm-stubs,https://github.com/JetBrains/phpstorm-stubs,0a38c1600dd6ecf9bbf23b455172efebae715046,1362,fallback_includes
cypht-org/cypht,cypht-org,cypht,https://github.com/cypht-org/cypht,c4c803378dc4ab01bd9c5ebf42e052b664e9dfc0,1342,fallback_includes
honraytech/VueThink,honraytech,VueThink,https://github.com/honraytech/VueThink,6a954a0c04e180b218bf8c2e58b9ab748450b1e1,1331,primary_functions
pronamic/advanced-custom-fields-pro,pronamic,advanced-custom-fields-pro,https://github.com/pronamic/advanced-custom-fields-pro,28183c4288e3fed1709c34fbb5aba3526423d572,1320,primary_functions
shopware5/shopware,shopware5,shopware,https://github.com/shopware5/shopware,a4e2d0e804342cfea35af92cd71508f3ee535d67,1314,fallback_includes
SAML-Toolkits/php-saml,SAML-Toolkits,php-saml,https://github.com/SAML-Toolkits/php-saml,b4a2533aae9b78bdc972b23dfafb1887e831f214,1299,primary_functions
emoncms/emoncms,emoncms,emoncms,https://github.com/emoncms/emoncms,33339e3b1146abc1155651b510876b7f6f72daea,1292,fallback_includes
likeadmin-likeshop/likeshop,likeadmin-likeshop,likeshop,https://github.com/likeadmin-likeshop/likeshop,6f4a7fb2a3893139e50bccd0b4d82ec973ff08dc,1282,primary_functions
danpros/htmly,danpros,htmly,https://github.com/danpros/htmly,09eb1af4899f6f905ab9e6f5ed934426845115c8,1279,fallback_includes
ltb-project/self-service-password,ltb-project,self-service-password,https://github.com/ltb-project/self-service-password,c0cbd38e6a62babec578c996ae673883740bd1cb,1269,fallback_includes
themeum/kirki,themeum,kirki,https://github.com/themeum/kirki,49a9f52316ab3dba32c0d9669fdba703eafec708,1266,primary_functions
FOSSBilling/FOSSBilling,FOSSBilling,FOSSBilling,https://github.com/FOSSBilling/FOSSBilling,ad78481dac9f5f4d164329cd1e12ab2c1cf30109,1262,fallback_includes
imiphp/imi,imiphp,imi,https://github.com/imiphp/imi,5433d181f3686a776851380145204d4aea457c72,1180,fallback_includes
phpvirtualbox/phpvirtualbox,phpvirtualbox,phpvirtualbox,https://github.com/phpvirtualbox/phpvirtualbox,9f3d8d9f5a2c7f594ed4762eef35b8f560008c21,1132,fallback_includes
geesondog/rhaphp,geesondog,rhaphp,https://github.com/geesondog/rhaphp,7ae639ccf8dcb627faace096d030bd4cb4cfb905,1123,primary_functions
xiaomlove/nexusphp,xiaomlove,nexusphp,https://github.com/xiaomlove/nexusphp,6fb7be9036c27374913691d4cfc6e606d6d5b77f,1106,primary_functions
pods-framework/pods,pods-framework,pods,https://github.com/pods-framework/pods,f5cd00fa9fd580b336e6afd32b1e1cd0f12d4502,1101,primary_functions
